ID,PROJECT_NAME,POINT_TYPE,POINT_ORDER,LATITUDE,LONGITUDE,PROJECT_SECTOR,DEVELOPERS,DISTRICT,APPROVED_MONTH,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,4,-14.362125,33.7959969,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,5,-14.4304899,33.8927168,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,6,-14.4992191,33.8874237,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,7,-14.4029058,34.0076209,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,8,-14.3508047,33.925784,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,9,-14.2465105,33.7622207,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,10,-14.1996291,33.7194335,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
8,"Exploration of Titanium Minerals, Zircon, Graphite, Rare Earth Minerals and Kyanite at Kampini Area under TA Chingala Lilongwe",Boundary,11,-14.2143557,33.6267987,Mining,Ice Breaker Limited,Lilongwe,July,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,1,-10.0865118,33.7666916,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,2,-10.0886294,33.8509851,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,3,-10.1819097,33.8455441,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,4,-10.1819904,33.8137491,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,5,-10.1730572,33.8093265,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,6,-10.1666403,33.7701042,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,7,-10.1594518,33.7657237,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,8,-10.1630633,33.7526971,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,9,-10.1228457,33.7527036,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
9,Exploration of Coal at TA Kyungu Area in Karonga District,Boundary,10,-10.1225133,33.7673793,Mining,Amknown Dangote Limited,Karonga,March,,,,,,
10,Construction and Operation of TA Service Station at Chikalusa Village TA Chadza in Lilongwe,Single_point,,-14.0894444,33.8741667,Energy,Mr Anold Makoni,Lilongwe,March,*,,,,,
11,Diesel Storage Facility at Chiendausiku Campsite in Balaka,Single_point,,-15.0086528,35.0695599,Energy,Jiangxi Engineering (Group) Corporation Limited,Balaka,July,*,,,,,
